timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1524434583.645485,0.008345,0.153798,2.066475,-0.002192,-0.002641,0.001253,0.008246,-0.153192,-0.988162,-0.000357,-0.003866,0.017428,20.186737,-19.535309,-50.225769,,,,,,,
1524434583.665504,0.008302,0.153763,2.066479,-0.002166,-0.000513,-0.000880,0.008204,-0.153158,-0.988168,0.000295,-0.001246,0.019433,20.417343,-20.150627,-51.101929,,,,,,,
1524434583.685524,0.008315,0.153776,2.066472,-0.000034,-0.000510,0.000199,0.008216,-0.153171,-0.988165,0.001427,-0.003171,0.018607,20.422241,-21.151127,-51.528687,,,,,,,
1524434583.705544,0.008320,0.153828,2.066476,0.005320,0.000556,-0.000832,0.008221,-0.153222,-0.988157,-0.000287,-0.003836,0.016432,19.468430,-22.081188,-51.574707,,,,,,,
1524434583.725563,0.008323,0.153833,2.066459,-0.002132,0.001620,-0.003015,0.008225,-0.153227,-0.988157,0.001190,-0.003557,0.016050,17.771164,-21.903427,-50.798340,,,,,,,
1524434583.745583,0.008311,0.153825,2.066473,-0.000039,-0.003683,0.001262,0.008213,-0.153219,-0.988158,0.000820,-0.004008,0.016402,17.901871,-19.886139,-49.641052,,,,,,,
1524434583.765602,0.008306,0.153823,2.066477,0.002115,0.001629,0.000210,0.008208,-0.153217,-0.988158,0.000444,-0.002835,0.017516,18.242401,-19.114220,-49.018921,,,,,,,
1524434583.785622,0.008315,0.153821,2.066492,-0.002154,0.000573,0.000180,0.008217,-0.153215,-0.988159,0.001015,-0.005095,0.017761,18.501450,-18.497337,-48.385925,,,,,,,
1524434583.805640,0.008307,0.153803,2.066485,-0.001085,-0.000489,0.000187,0.008209,-0.153198,-0.988161,0.001969,-0.004243,0.017718,19.328262,-19.132298,-48.535767,,,,,,,
1524434583.825691,0.008287,0.153808,2.066484,0.001039,-0.004734,0.001267,0.008189,-0.153202,-0.988161,0.000356,-0.003185,0.017244,19.338547,-19.023472,-48.852966,,,,,,,
1524434583.845711,0.008284,0.153779,2.066477,-0.002140,-0.001547,-0.000887,0.008186,-0.153174,-0.988165,0.001106,-0.002115,0.019080,20.230270,-19.118896,-49.797913,,,,,,,
1524434583.865731,0.008308,0.153762,2.066465,-0.000007,0.002708,0.000192,0.008210,-0.153157,-0.988168,0.000350,-0.001765,0.018762,20.474411,-19.855186,-50.858948,,,,,,,
1524434583.885750,0.008309,0.153793,2.066468,0.002129,0.000584,0.000207,0.008211,-0.153187,-0.988163,-0.000123,-0.003078,0.017887,20.011093,-20.593231,-51.457031,,,,,,,
1524434583.905770,0.008309,0.153824,2.066440,0.001080,-0.000475,-0.001933,0.008210,-0.153218,-0.988158,0.001082,-0.003184,0.018447,19.539780,-21.759384,-51.805847,,,,,,,
1524434583.925789,0.008305,0.153828,2.066438,-0.000006,-0.000470,0.000191,0.008207,-0.153222,-0.988158,0.001772,-0.002921,0.015471,17.895279,-20.918968,-50.943298,,,,,,,
1524434583.945809,0.008295,0.153810,2.066442,0.001074,-0.000469,-0.000867,0.008197,-0.153204,-0.988160,0.000409,-0.003702,0.017488,18.209305,-20.065281,-49.970032,,,,,,,
1524434583.965827,0.008257,0.153781,2.066451,-0.003203,-0.001527,0.000170,0.008160,-0.153176,-0.988165,0.000324,-0.002860,0.018011,18.482117,-19.379822,-49.170593,,,,,,,
1524434583.985847,0.008255,0.153796,2.066444,0.000004,-0.000460,0.000191,0.008158,-0.153190,-0.988163,0.000906,-0.003167,0.017017,18.951965,-19.312534,-48.534851,,,,,,,
1524434584.005898,0.008251,0.153800,2.066448,0.001065,-0.001519,0.001264,0.008154,-0.153194,-0.988162,-0.000311,-0.005421,0.016605,19.578323,-19.618382,-48.903442,,,,,,,
1524434584.025917,0.008245,0.153778,2.066431,-0.002112,0.002734,-0.000890,0.008147,-0.153172,-0.988166,0.001710,-0.004039,0.016745,19.793335,-19.106472,-49.299927,,,,,,,
1524434584.045937,0.008227,0.153761,2.066418,-0.001044,-0.001512,-0.000882,0.008130,-0.153155,-0.988169,0.001483,-0.002759,0.016916,20.556854,-19.514816,-50.259216,,,,,,,
1524434584.065956,0.008219,0.153765,2.066417,0.002143,-0.001505,0.001271,0.008122,-0.153160,-0.988168,0.001324,-0.001900,0.019036,20.775986,-20.253742,-51.275696,,,,,,,
1524434584.085976,0.008227,0.153786,2.066410,-0.001036,0.000621,-0.000882,0.008130,-0.153181,-0.988165,0.001087,-0.001925,0.017828,20.539719,-20.990814,-51.994629,,,,,,,
1524434584.105994,0.008223,0.153812,2.066413,0.002160,0.000626,0.000206,0.008126,-0.153206,-0.988161,0.002143,-0.003486,0.016710,19.561935,-21.928421,-51.558899,,,,,,,
1524434584.126014,0.008211,0.153822,2.066433,0.002153,-0.001498,0.001273,0.008114,-0.153216,-0.988159,0.001056,-0.003949,0.016281,18.076843,-20.822815,-50.373230,,,,,,,
1524434584.146034,0.008225,0.153799,2.066426,-0.004239,0.000633,0.000165,0.008128,-0.153194,-0.988163,0.001500,-0.002721,0.018268,18.309341,-19.427105,-49.424377,,,,,,,
1524434584.166054,0.008227,0.153793,2.066430,0.001102,-0.000427,0.000201,0.008130,-0.153187,-0.988164,0.000705,-0.001705,0.017216,18.651031,-18.628967,-48.719238,,,,,,,
1524434584.186074,0.008237,0.153824,2.066445,0.004310,0.001702,0.000223,0.008140,-0.153218,-0.988159,0.000283,-0.001643,0.018188,19.094940,-18.438389,-48.236084,,,,,,,
1524434584.206124,0.008249,0.153798,2.066449,-0.004220,-0.000424,-0.000899,0.008152,-0.153192,-0.988163,0.001324,-0.005255,0.017917,19.618423,-18.934914,-48.877502,,,,,,,
1524434584.226143,0.008257,0.153787,2.066453,-0.001026,-0.001478,0.000189,0.008159,-0.153181,-0.988164,0.000721,-0.005007,0.017614,20.207993,-18.489723,-49.345215,,,,,,,
1524434584.246163,0.008243,0.153770,2.066457,-0.001022,-0.001478,0.000190,0.008145,-0.153165,-0.988167,0.000995,-0.001330,0.019127,20.833771,-19.372211,-50.487244,,,,,,,
1524434584.266181,0.008242,0.153764,2.066472,-0.002093,0.002774,0.001250,0.008145,-0.153159,-0.988168,0.001575,-0.001962,0.019570,20.857590,-20.097195,-51.562683,,,,,,,
1524434584.286201,0.008223,0.153780,2.066476,0.002174,-0.002536,0.001279,0.008126,-0.153175,-0.988165,0.001472,-0.003289,0.017768,20.308121,-20.880821,-52.092773,,,,,,,
